dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2017-12-01,28,185,5,18,3,0,0,0,1,0,3,5,0
2018-01-01,20,141,0,12,0,0,0,0,0,0,0,4,0
2018-02-01,22,188,3,13,2,0,0,0,1,0,1,6,1
2018-03-01,27,196,3,15,1,1,0,1,2,4,18,15,1
2018-04-01,29,308,5,17,3,6,0,6,11,12,43,19,3
2018-05-01,29,215,5,16,0,1,0,1,12,3,63,14,1
2018-06-01,28,267,9,18,6,3,1,1,6,2,29,17,0
2018-07-01,36,279,5,21,1,8,1,7,10,10,46,8,0
2018-08-01,26,243,5,20,5,8,0,10,11,17,23,10,0
2018-09-01,25,195,4,13,0,4,0,5,6,14,90,5,0
2018-10-01,25,284,5,14,2,3,1,3,3,14,65,10,0
2018-11-01,23,183,2,13,0,1,0,1,1,2,4,11,0
2018-12-01,20,63,2,12,1,0,0,0,1,1,6,7,1
2019-01-01,13,70,0,10,0,0,0,0,1,0,1,6,0
2019-02-01,27,86,7,17,4,0,0,0,1,0,6,12,1
2019-03-01,32,184,11,16,4,3,0,3,4,3,7,12,3
2019-04-01,32,135,4,20,1,4,0,2,11,4,34,7,2
2019-05-01,19,83,2,13,1,1,0,1,5,2,11,4,1
2019-06-01,27,188,5,16,1,2,0,2,5,4,21,6,1
2019-07-01,23,101,5,14,2,3,0,0,5,3,24,22,2
2019-08-01,21,107,1,12,0,4,1,3,4,6,21,7,1
2019-09-01,26,140,6,15,0,1,0,2,2,2,4,5,0
2019-10-01,23,111,3,15,2,1,0,2,1,2,9,2,0
2019-11-01,14,28,0,11,0,1,0,1,1,2,3,4,1
2019-12-01,11,35,0,7,0,2,0,0,2,0,11,7,1
2020-01-01,10,88,0,8,0,5,2,5,7,8,19,13,0
2020-02-01,8,139,0,7,0,28,0,29,29,30,26,17,1
2020-03-01,4,49,0,4,0,10,1,8,16,11,12,10,1
2020-04-01,2,150,0,2,0,0,0,0,11,11,59,15,0
2020-05-01,8,25,2,7,0,1,4,1,13,15,129,12,3
2020-06-01,6,45,1,6,1,0,0,0,20,16,85,16,2
2020-07-01,6,56,0,6,0,0,0,0,18,15,61,12,1
2020-08-01,4,9,0,4,0,0,0,0,10,10,54,12,0
