dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2019-03-01,9,39,6,3,0,0,0,0,61,52,537,155,37
2019-04-01,5,19,2,3,1,3,3,0,33,54,259,157,25
2019-05-01,3,59,0,2,0,0,0,0,60,48,386,142,28
2019-06-01,4,62,1,3,1,1,0,1,66,70,549,155,31
2019-07-01,6,40,2,2,0,0,0,0,53,46,358,167,30
2019-08-01,5,47,2,4,2,2,0,2,45,52,425,168,20
2019-09-01,8,46,4,3,1,0,0,0,50,44,478,168,31
2019-10-01,8,86,2,4,0,0,0,0,58,58,395,164,38
2019-11-01,8,63,4,3,0,0,0,0,58,54,432,167,37
2019-12-01,6,53,0,3,0,0,0,0,54,60,519,169,36
2020-01-01,4,49,1,2,0,2,1,1,64,51,425,161,26
2020-02-01,7,19,4,4,2,0,0,0,39,36,300,116,21
2020-03-01,4,23,0,3,0,0,0,0,38,37,235,124,33
2020-04-01,6,27,3,4,2,1,0,1,44,41,203,126,30
2020-05-01,9,48,5,4,1,0,0,0,52,46,172,105,37
2020-06-01,4,19,1,2,0,1,0,1,41,34,204,106,24
2020-07-01,5,24,2,2,0,0,0,0,50,40,314,141,31
2020-08-01,5,30,1,2,0,0,0,0,47,42,321,125,31
