dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2017-03-01,12,28,2,8,0,0,0,0,46,40,201,39,33
2017-04-01,11,41,1,9,0,0,0,0,42,45,206,39,18
2017-05-01,6,9,1,6,1,0,0,0,42,18,282,36,12
2017-06-01,10,12,4,6,2,1,1,0,29,26,195,42,10
2017-07-01,6,6,2,4,0,0,0,0,54,16,103,31,12
2017-08-01,8,11,0,7,0,0,0,0,33,25,134,32,16
2017-09-01,10,12,2,7,1,0,0,0,35,26,161,26,14
2017-10-01,1,3,0,1,0,0,0,0,16,7,70,28,11
2017-11-01,6,11,2,5,1,0,0,0,11,25,86,39,18
2017-12-01,7,14,0,6,0,0,0,0,27,14,84,45,17
2018-01-01,5,14,2,5,1,0,0,0,31,23,160,40,14
2018-02-01,3,4,1,3,1,0,0,0,29,27,157,25,16
2018-03-01,3,4,0,3,0,0,0,0,20,12,86,31,12
2018-04-01,5,6,1,5,0,0,0,0,33,21,160,30,22
2018-05-01,6,11,0,5,0,0,0,0,26,32,258,42,11
2018-06-01,4,6,3,3,0,0,0,0,12,16,58,29,13
2018-07-01,1,2,1,1,0,0,0,0,9,7,21,29,11
2018-08-01,6,15,1,5,0,0,0,0,16,26,71,31,11
2018-09-01,4,19,1,3,0,0,0,0,19,18,100,29,13
2018-10-01,4,8,2,4,1,0,0,0,13,18,154,25,15
2018-11-01,2,2,0,2,0,0,0,0,6,10,47,33,9
2018-12-01,3,9,0,2,0,0,0,0,9,12,35,36,16
2019-01-01,2,2,0,1,0,0,0,0,9,6,22,28,10
2019-02-01,2,23,0,2,0,0,0,0,7,13,44,22,8
2019-03-01,5,7,1,4,0,0,0,0,10,11,52,32,12
2019-04-01,4,5,1,4,0,0,0,0,15,10,29,12,6
2019-05-01,16,35,9,7,2,0,0,0,30,50,170,19,6
2019-06-01,2,2,0,2,0,0,0,0,11,3,39,9,3
2019-07-01,10,14,4,4,0,0,0,0,24,23,35,14,13
2019-08-01,19,62,2,10,0,0,0,0,17,76,247,8,8
2019-09-01,3,3,0,2,0,0,0,0,5,7,20,16,6
2019-10-01,1,2,0,1,0,0,0,0,5,3,10,13,7
2019-11-01,2,2,1,2,0,0,0,0,13,3,23,11,6
2019-12-01,6,8,1,3,0,0,0,0,8,18,61,11,3
2020-01-01,3,5,1,3,0,0,0,0,11,9,18,12,3
2020-02-01,3,3,0,3,0,0,0,0,16,8,40,12,3
2020-03-01,3,4,0,3,0,0,0,0,10,11,32,17,11
2020-04-01,4,5,1,3,1,0,0,0,23,20,29,17,3
2020-05-01,2,6,0,2,0,0,0,0,22,19,25,7,5
2020-06-01,0,0,0,0,0,0,0,0,12,9,38,8,3
2020-07-01,1,1,0,1,0,0,0,0,11,8,23,31,10
