dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2016-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2016-12-01,1,8,1,1,1,4,0,4,5,4,33,1,0
2017-01-01,7,98,3,6,0,30,1,28,69,41,266,179,25
2017-02-01,14,60,7,9,3,32,0,20,69,27,549,90,19
2017-03-01,15,28,5,10,2,13,0,11,32,20,274,63,27
2017-04-01,17,64,6,11,2,19,3,14,73,50,406,83,14
2017-05-01,13,54,2,11,0,23,3,25,47,53,304,63,11
2017-06-01,16,66,5,11,2,32,2,33,83,63,455,69,10
2017-07-01,15,43,2,10,1,31,1,26,62,52,457,57,8
2017-08-01,11,39,2,8,1,20,2,19,47,44,326,61,19
2017-09-01,11,67,3,6,0,36,4,37,90,88,525,82,19
2017-10-01,9,49,0,7,0,33,4,25,106,66,613,86,21
2017-11-01,13,48,4,9,2,31,5,23,93,68,436,89,15
2017-12-01,14,48,4,9,0,22,4,20,81,55,228,97,19
2018-01-01,11,36,3,8,2,16,1,14,53,34,338,88,16
2018-02-01,6,12,1,5,1,10,3,6,31,24,232,65,17
2018-03-01,5,14,0,4,0,6,1,5,40,25,167,80,17
2018-04-01,13,35,3,8,2,9,4,6,60,40,388,105,15
2018-05-01,11,22,1,8,0,6,1,6,50,32,203,91,19
2018-06-01,11,28,4,7,2,14,2,14,51,42,197,74,28
2018-07-01,9,26,2,7,2,11,2,9,58,61,295,67,26
2018-08-01,6,12,2,5,1,10,2,1,39,22,225,61,20
2018-09-01,8,18,2,6,0,7,1,12,37,42,182,64,20
2018-10-01,7,12,1,5,0,5,0,3,35,14,213,74,16
2018-11-01,4,5,1,4,0,4,1,1,23,7,141,76,16
2018-12-01,4,13,0,4,0,9,2,2,26,10,85,66,31
2019-01-01,6,22,1,6,1,6,2,11,41,32,226,96,30
2019-02-01,5,28,1,4,0,9,3,4,53,107,638,99,14
2019-03-01,11,49,2,8,1,12,5,5,63,41,452,66,24
2019-04-01,6,25,1,4,0,3,2,2,31,20,175,74,16
2019-05-01,5,46,1,4,1,10,2,12,61,60,404,73,17
2019-06-01,6,29,1,5,1,8,1,4,43,27,214,89,12
2019-07-01,5,35,1,4,0,14,2,10,60,49,293,96,25
2019-08-01,5,82,2,3,0,11,5,8,63,62,507,81,26
2019-09-01,5,60,1,3,0,7,1,4,40,39,218,95,32
2019-10-01,9,27,3,5,1,34,10,12,59,41,329,83,28
2019-11-01,4,15,2,2,0,12,4,6,20,13,100,74,22
2019-12-01,5,8,1,3,1,12,6,3,23,19,166,115,30
2020-01-01,9,41,3,5,2,8,5,6,25,29,172,62,11
2020-02-01,10,40,3,5,0,24,5,21,48,46,255,78,21
2020-03-01,9,47,1,8,0,46,13,31,74,73,407,65,18
2020-04-01,8,42,2,4,0,21,7,22,37,54,223,79,24
2020-05-01,4,13,0,3,0,10,2,7,22,21,79,77,11
2020-06-01,8,10,4,7,1,13,3,2,27,15,78,75,24
2020-07-01,8,21,2,7,1,17,2,10,25,20,103,63,11
2020-08-01,4,5,0,3,0,8,1,8,19,17,79,60,21
