dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2018-03-01,4,28,0,4,0,10,0,6,27,12,201,32,5
2018-04-01,8,28,3,6,2,6,1,9,14,18,193,17,4
2018-05-01,5,22,2,5,2,5,0,5,16,12,126,28,2
2018-06-01,6,17,4,6,3,10,0,6,20,8,131,24,7
2018-07-01,7,26,4,6,1,9,1,10,15,17,102,31,6
2018-08-01,8,23,4,5,2,11,0,9,21,15,209,38,6
2018-09-01,8,29,5,8,3,12,0,11,26,20,275,28,8
2018-10-01,6,31,3,5,1,13,1,11,28,25,339,36,8
2018-11-01,12,37,6,10,2,13,1,15,23,23,231,35,3
2018-12-01,3,30,1,2,0,11,0,10,25,20,124,49,2
2019-01-01,7,25,4,7,3,14,0,10,28,24,148,30,7
2019-02-01,4,15,1,3,1,5,0,6,18,22,121,35,4
2019-03-01,5,21,3,4,1,8,1,8,20,19,172,38,4
2019-04-01,2,5,1,2,0,2,0,1,9,2,48,50,3
2019-05-01,4,15,2,4,1,5,1,5,13,10,79,48,6
2019-06-01,5,19,4,5,2,7,1,6,18,12,75,38,5
2019-07-01,3,13,2,3,1,7,0,7,19,19,142,31,7
2019-08-01,1,1,0,1,0,2,0,0,7,2,44,38,5
2019-09-01,7,19,6,6,3,7,5,6,17,20,120,48,3
2019-10-01,9,34,5,8,3,18,5,12,33,28,240,35,12
2019-11-01,8,12,4,7,3,10,1,9,24,21,181,61,8
2019-12-01,5,6,3,5,0,4,1,3,14,13,63,53,3
2020-01-01,5,9,4,5,2,6,0,6,17,12,47,41,1
2020-02-01,7,14,5,6,2,11,0,8,21,13,95,35,8
2020-03-01,5,6,3,4,1,7,1,6,21,14,124,41,8
2020-04-01,4,8,3,3,1,4,0,2,11,5,53,42,4
2020-05-01,5,16,4,4,2,11,1,6,23,13,169,37,8
2020-06-01,6,43,3,4,0,19,0,16,29,27,205,43,6
2020-07-01,6,8,2,5,1,9,3,6,33,20,149,44,8
2020-08-01,9,28,5,9,3,17,2,17,32,32,143,72,12
