dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-04-01,3,26,0,3,0,0,0,0,3,4,18,26,5
2015-05-01,3,23,1,3,0,1,0,1,2,1,20,22,4
2015-06-01,1,17,0,1,0,0,0,0,2,0,28,10,4
2015-07-01,1,39,0,1,0,0,0,0,5,3,27,26,3
2015-08-01,1,9,0,1,0,0,0,0,4,3,29,19,1
2015-09-01,2,9,0,2,0,1,0,1,9,3,58,20,3
2015-10-01,2,19,1,2,0,7,0,6,12,11,86,15,2
2015-11-01,2,15,1,2,1,4,0,5,11,8,44,20,1
2015-12-01,3,14,1,2,0,6,0,5,9,7,109,24,3
2016-01-01,3,26,1,3,1,11,0,11,18,15,51,22,0
2016-02-01,2,33,0,2,0,14,1,14,20,21,85,22,5
2016-03-01,1,16,0,1,0,8,0,7,14,14,72,30,4
2016-04-01,1,36,0,1,0,19,0,18,35,27,90,19,2
2016-05-01,1,52,0,1,0,17,1,17,20,21,15,25,8
2016-06-01,1,16,0,1,0,8,0,6,12,8,26,36,4
2016-07-01,3,40,2,3,2,17,0,19,27,28,114,18,6
2016-08-01,3,13,1,3,0,8,0,8,10,12,24,18,3
2016-09-01,1,8,0,1,0,8,0,8,10,9,12,14,2
2016-10-01,1,1,0,1,0,1,0,1,2,1,11,22,0
2016-11-01,1,11,0,1,0,11,0,11,15,29,71,17,2
2016-12-01,2,33,0,2,0,16,2,14,23,30,68,16,5
2017-01-01,3,10,2,3,2,8,0,8,14,17,108,20,2
2017-02-01,2,43,1,2,1,18,1,16,30,30,137,28,4
2017-03-01,3,61,1,2,0,38,1,38,64,72,264,18,9
2017-04-01,4,99,2,4,1,45,0,46,71,69,192,38,4
2017-05-01,2,20,0,2,0,15,0,15,28,27,52,20,2
2017-06-01,3,28,1,3,1,21,1,19,47,41,173,24,1
2017-07-01,3,32,0,3,0,18,0,16,32,30,81,20,3
2017-08-01,2,65,0,2,0,32,2,32,53,51,131,34,3
2017-09-01,2,9,1,2,0,5,0,5,8,7,16,27,5
2017-10-01,2,16,1,2,1,16,1,12,32,40,175,22,3
2017-11-01,3,31,2,3,1,21,2,18,30,31,205,24,3
2017-12-01,3,11,0,2,0,8,0,10,16,19,143,22,1
2018-01-01,2,19,0,2,0,14,0,14,22,20,65,25,3
2018-02-01,2,4,1,2,0,4,0,4,5,6,33,13,3
2018-03-01,2,19,0,2,0,12,0,13,14,17,50,21,6
2018-04-01,2,12,1,2,0,10,1,8,13,12,50,28,5
2018-05-01,2,53,0,2,0,28,0,28,42,40,142,25,4
2018-06-01,2,41,1,2,1,28,2,28,32,37,93,33,3
2018-07-01,1,3,0,1,0,3,0,3,5,6,9,17,1
2018-08-01,1,7,0,1,0,6,0,6,14,13,75,27,5
2018-09-01,0,0,0,0,0,0,0,0,5,4,20,19,1
2018-10-01,1,12,0,1,0,8,1,7,14,15,41,21,2
2018-11-01,2,2,1,2,0,1,0,1,8,6,50,29,1
2018-12-01,3,29,2,2,0,21,0,19,25,25,84,22,4
2019-01-01,2,20,1,2,0,9,0,10,16,14,32,27,4
2019-02-01,3,30,1,3,0,23,0,24,29,35,82,50,9
2019-03-01,2,41,1,2,1,24,0,24,31,35,115,39,6
2019-04-01,2,39,0,2,0,24,0,22,35,46,157,47,7
2019-05-01,2,36,0,2,0,23,1,22,27,28,102,47,4
2019-06-01,1,2,0,1,0,1,0,1,3,4,20,21,3
2019-07-01,1,3,0,1,0,3,1,3,5,7,29,30,6
2019-08-01,1,2,0,1,0,2,0,2,5,3,12,25,5
2019-09-01,2,16,1,2,1,6,0,6,11,7,36,35,5
2019-10-01,5,28,4,5,3,15,1,14,18,16,49,31,10
2019-11-01,1,7,0,1,0,4,0,4,10,7,30,27,5
2019-12-01,4,11,3,4,1,10,0,10,14,14,44,19,4
2020-01-01,1,4,0,1,0,4,0,3,10,7,41,34,4
2020-02-01,1,7,0,1,0,6,0,6,12,22,132,19,0
2020-03-01,3,14,2,2,0,14,2,12,17,16,85,30,5
2020-04-01,2,21,0,2,0,11,2,9,25,23,78,31,3
2020-05-01,5,19,1,2,0,16,0,16,28,27,125,40,3
2020-06-01,2,2,0,2,0,2,0,2,4,4,16,35,5
2020-07-01,1,1,0,1,0,1,0,2,3,4,33,49,4
