dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-11-01,7,34,2,7,1,0,0,0,36,39,437,55,7
2015-12-01,8,44,5,7,2,0,0,0,55,55,894,80,10
2016-01-01,7,63,2,6,1,0,0,0,41,42,534,60,6
2016-02-01,9,36,5,9,4,1,1,0,52,48,497,60,8
2016-03-01,8,28,5,6,3,1,1,0,41,31,411,75,11
2016-04-01,12,30,6,12,6,1,0,0,53,45,743,53,14
2016-05-01,6,21,3,4,0,0,0,0,38,35,429,66,6
2016-06-01,5,10,2,4,1,0,0,0,23,28,400,48,3
2016-07-01,3,8,2,3,1,0,0,0,23,15,199,48,3
2016-08-01,4,8,1,4,0,0,1,0,21,22,361,61,6
2016-09-01,7,35,3,7,2,0,0,0,50,52,555,72,5
2016-10-01,5,28,2,4,0,0,0,0,40,37,446,77,7
2016-11-01,9,37,3,7,1,0,0,0,70,57,542,70,6
2016-12-01,5,6,3,5,2,0,0,0,24,21,287,73,9
2017-01-01,11,28,4,9,2,0,0,0,46,42,411,91,10
2017-02-01,7,12,2,6,1,0,0,0,27,34,398,75,5
2017-03-01,4,5,3,3,0,0,0,0,32,21,256,86,3
2017-04-01,5,10,1,3,0,0,0,0,34,18,326,75,11
2017-05-01,10,32,4,9,3,0,0,0,38,42,322,54,6
2017-06-01,3,8,0,3,0,0,0,0,27,22,211,61,4
2017-07-01,6,13,3,4,1,0,0,0,28,25,243,45,9
2017-08-01,6,37,2,6,1,0,0,0,41,49,378,71,9
2017-09-01,9,224,5,6,2,0,0,0,115,114,943,75,13
2017-10-01,7,17,2,6,2,0,0,0,27,17,187,113,10
2017-11-01,7,20,4,5,2,0,0,0,28,36,255,95,4
2017-12-01,8,38,4,6,2,0,0,0,45,41,347,85,7
2018-01-01,4,10,2,4,1,0,0,0,19,22,220,92,7
2018-02-01,10,22,6,8,4,0,0,0,28,24,216,89,12
2018-03-01,11,101,6,8,3,2,0,2,60,70,583,132,15
2018-04-01,7,48,3,6,2,0,0,0,59,43,579,96,10
2018-05-01,4,13,0,2,0,0,0,0,24,23,209,87,12
2018-06-01,5,13,2,4,1,0,0,0,21,19,177,103,6
2018-07-01,5,13,2,5,2,0,0,0,24,23,250,103,7
2018-08-01,5,50,2,5,2,0,0,0,38,42,338,109,4
2018-09-01,6,57,2,4,1,0,0,0,50,56,428,97,7
2018-10-01,12,60,7,6,1,0,0,0,61,57,480,113,8
2018-11-01,8,38,3,6,2,0,0,0,45,49,428,93,9
2018-12-01,6,37,1,5,1,0,0,0,37,26,231,101,8
2019-01-01,6,15,3,3,0,0,0,0,32,20,262,101,8
2019-02-01,5,6,2,3,0,0,0,0,26,19,229,102,13
2019-03-01,7,39,3,4,1,0,0,0,39,49,275,123,6
2019-04-01,3,3,1,2,0,0,0,0,22,15,142,112,9
2019-05-01,2,9,0,2,0,0,0,0,14,9,92,112,14
2019-06-01,3,5,2,3,0,0,0,0,22,13,133,88,8
2019-07-01,3,11,0,3,0,0,0,0,22,14,116,106,4
2019-08-01,8,33,5,5,0,0,0,0,26,23,212,99,7
2019-09-01,6,9,2,4,0,0,0,0,29,21,209,109,10
2019-10-01,5,49,1,4,1,0,0,0,44,48,297,90,9
2019-11-01,4,6,2,4,2,0,0,0,20,14,128,105,7
2019-12-01,2,2,0,2,0,0,0,0,16,11,137,87,5
2020-01-01,6,15,3,4,1,0,0,0,37,18,220,104,10
2020-02-01,10,34,2,6,1,0,0,0,34,36,219,105,5
2020-03-01,6,12,4,4,1,1,0,0,24,13,132,86,6
2020-04-01,6,83,1,4,0,0,1,0,66,76,604,124,12
2020-05-01,6,62,1,5,0,0,0,0,65,69,560,111,18
2020-06-01,8,22,3,5,0,0,0,0,32,24,139,108,5
2020-07-01,1,5,0,1,0,0,0,0,16,14,158,70,5
2020-08-01,1,2,0,1,0,0,0,0,24,10,91,66,14
