dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2018-01-01,12,112,4,8,2,30,6,25,48,45,129,63,20
2018-02-01,12,117,3,6,0,45,2,41,65,53,129,42,11
2018-03-01,11,345,0,5,0,79,9,72,92,98,110,64,16
2018-04-01,16,203,8,10,6,63,7,55,88,83,180,65,26
2018-05-01,13,133,2,8,0,50,9,40,72,59,74,66,23
2018-06-01,15,75,6,9,2,52,6,35,71,55,105,70,19
2018-07-01,14,41,3,8,2,20,3,25,37,44,95,50,20
2018-08-01,15,99,3,7,1,39,6,33,59,58,269,78,27
2018-09-01,16,148,5,9,1,41,11,34,60,54,138,58,19
2018-10-01,15,121,3,6,0,43,6,36,61,53,152,86,22
2018-11-01,16,127,2,7,0,30,5,21,46,35,135,59,28
2018-12-01,15,123,4,8,0,37,5,26,53,47,178,79,33
2019-01-01,16,131,6,10,3,53,11,42,85,86,272,108,44
2019-02-01,16,100,6,8,1,53,7,42,72,59,114,70,43
2019-03-01,12,58,3,7,0,31,10,27,45,46,107,105,46
2019-04-01,13,70,4,9,2,23,3,23,39,46,144,132,44
2019-05-01,14,51,3,8,0,39,5,31,55,50,111,123,44
2019-06-01,11,37,4,7,1,40,6,27,54,37,52,79,39
2019-07-01,13,55,5,7,2,27,7,27,41,42,104,96,48
2019-08-01,10,66,2,5,0,19,3,17,40,44,129,105,55
2019-09-01,10,70,2,6,1,37,2,30,47,41,70,110,43
2019-10-01,15,127,1,7,1,26,1,18,39,27,63,82,39
2019-11-01,12,103,3,5,0,32,5,30,43,40,51,134,46
2019-12-01,14,135,3,7,0,46,7,42,57,57,103,111,48
2020-01-01,14,147,2,6,1,33,5,27,52,61,173,79,37
2020-02-01,14,66,5,6,0,33,3,24,46,36,137,72,31
2020-03-01,17,114,5,7,1,48,6,40,60,64,139,98,42
2020-04-01,11,79,2,5,0,34,7,34,46,51,97,98,60
2020-05-01,10,109,3,6,1,53,1,44,68,53,136,97,46
2020-06-01,12,134,3,6,2,86,10,69,101,88,99,124,56
2020-07-01,12,149,3,6,1,55,9,52,66,69,84,116,56
2020-08-01,8,58,0,4,0,11,4,10,26,23,65,96,37
