dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2019-05-01,9,93,2,7,1,45,2,39,65,52,409,6,2
2019-06-01,7,86,3,4,0,44,3,33,50,42,105,11,4
2019-07-01,6,69,0,4,0,36,5,29,51,35,94,3,0
2019-08-01,8,151,1,6,1,68,13,63,85,95,258,9,2
2019-09-01,6,109,1,5,0,45,3,44,78,80,408,6,2
2019-10-01,13,243,2,10,1,121,22,102,157,160,704,13,3
2019-11-01,8,140,1,7,1,65,7,54,84,83,331,14,1
2019-12-01,7,209,2,5,1,107,13,90,136,146,532,11,6
2020-01-01,10,210,2,8,1,96,8,85,158,126,638,17,6
2020-02-01,8,158,2,7,2,83,11,65,123,135,588,15,6
2020-03-01,10,187,1,9,1,88,14,82,129,132,648,3,4
2020-04-01,9,210,2,8,1,105,8,88,190,149,1107,10,6
2020-05-01,11,181,3,9,2,94,14,75,142,136,664,14,7
2020-06-01,9,170,2,8,1,92,15,76,163,149,545,13,4
2020-07-01,8,89,2,6,1,50,9,33,71,52,152,15,4
2020-08-01,8,125,0,6,0,72,27,55,90,94,179,15,4
