dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2014-09-01,9,36,0,3,0,0,0,0,0,0,0,0,0
2014-10-01,8,20,0,4,0,0,0,0,0,0,0,0,0
2014-11-01,7,15,0,4,0,0,0,0,0,0,0,0,0
2014-12-01,5,6,1,4,0,0,0,0,0,0,0,0,0
2015-01-01,4,10,0,2,0,0,0,0,0,0,0,0,0
2015-02-01,8,18,1,3,0,0,0,0,0,0,0,0,0
2015-03-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2015-04-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2015-05-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2015-06-01,1,1,0,1,0,0,0,0,0,0,0,0,0
2015-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-01,1,1,1,1,0,0,0,0,0,0,0,0,0
2015-09-01,2,4,2,2,1,0,0,0,0,0,0,0,0
2015-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-01,1,4,0,1,0,0,0,0,0,0,0,0,0
2015-12-01,2,2,0,2,0,0,0,0,0,0,0,0,0
2016-01-01,1,5,0,1,0,0,0,0,0,0,0,0,0
2016-02-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2016-03-01,1,2,0,1,0,0,0,0,0,0,0,0,0
2016-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-01,3,5,2,3,1,2,0,0,26,1,119,16,1
2016-08-01,4,5,2,3,0,7,0,2,31,18,168,39,18
2016-09-01,1,1,1,1,1,1,0,0,16,6,75,26,10
2016-10-01,3,3,2,3,0,2,0,1,20,20,131,35,14
2016-11-01,2,2,1,2,0,2,1,0,25,11,149,26,9
2016-12-01,10,28,1,5,0,17,6,13,44,49,262,34,12
2017-01-01,6,20,0,3,0,5,3,6,24,53,285,23,10
2017-02-01,7,16,1,3,1,7,4,2,24,21,192,41,11
2017-03-01,2,8,0,2,0,5,1,3,27,18,260,25,15
2017-04-01,3,8,1,2,0,5,3,1,22,19,145,23,12
2017-05-01,3,8,1,3,1,5,4,0,32,21,294,31,15
2017-06-01,2,4,1,2,0,2,0,0,15,8,70,37,14
2017-07-01,0,0,0,0,0,1,0,0,20,11,106,31,14
2017-08-01,2,2,2,2,0,5,1,1,22,20,110,34,15
2017-09-01,2,7,1,2,1,5,0,4,20,23,129,36,13
2017-10-01,2,3,1,2,0,1,0,1,19,13,150,32,6
2017-11-01,4,10,2,4,2,6,0,4,29,15,139,36,6
2017-12-01,1,5,0,1,0,3,0,0,14,15,81,28,13
2018-01-01,1,2,0,1,0,3,1,0,22,14,118,31,13
2018-02-01,3,17,1,3,0,4,0,1,25,14,82,18,9
2018-03-01,4,26,1,3,1,2,2,0,34,21,147,30,15
2018-04-01,2,2,0,2,0,0,0,0,15,3,124,34,11
2018-05-01,1,1,1,1,1,2,0,0,19,9,136,28,17
2018-06-01,0,0,0,0,0,4,0,0,24,9,61,23,8
2018-07-01,0,0,0,0,0,0,0,0,15,36,180,24,6
2018-08-01,1,6,0,1,0,1,11,10,32,64,301,22,8
2018-09-01,0,0,0,0,0,1,0,0,17,8,70,18,11
2018-10-01,0,0,0,0,0,0,0,0,21,12,84,18,9
2018-11-01,0,0,0,0,0,0,0,0,12,4,26,23,10
2018-12-01,2,2,2,2,0,3,0,0,17,2,49,14,14
2019-01-01,1,3,0,1,0,3,0,2,11,4,48,20,3
2019-02-01,2,2,1,2,0,2,0,0,19,9,62,20,12
2019-03-01,1,1,1,1,1,1,0,1,23,70,246,20,8
2019-04-01,6,35,5,5,1,37,1,34,65,47,237,28,7
2019-05-01,4,58,0,3,0,54,0,54,74,59,205,22,8
2019-06-01,14,98,8,6,1,48,11,47,72,131,621,23,10
2019-07-01,9,131,1,7,1,110,7,104,137,132,489,13,3
2019-08-01,12,104,4,5,0,34,4,32,104,115,400,19,8
2019-09-01,11,101,3,5,1,19,1,18,106,92,505,23,13
2019-10-01,10,110,2,5,1,24,4,24,115,120,459,18,5
2019-11-01,13,60,4,6,1,13,1,12,65,69,319,10,3
2019-12-01,6,25,2,3,0,8,0,8,33,29,86,16,10
2020-01-01,6,15,1,3,0,9,0,9,42,30,156,17,3
2020-02-01,4,11,0,3,0,7,2,5,23,18,84,9,2
2020-03-01,5,16,0,2,0,10,2,8,32,27,185,15,12
2020-04-01,3,17,1,2,0,6,1,3,26,12,28,16,7
2020-05-01,5,14,1,2,0,7,2,6,17,11,44,10,7
2020-06-01,2,5,0,2,0,6,0,5,24,6,82,10,6
2020-07-01,2,3,0,1,0,3,0,3,11,6,12,9,1
2020-08-01,1,5,0,1,0,7,0,5,19,5,12,10,5
