sa,sa_md,sd,mar,mdar,sdar,mmre,mdmre,pred,dataset,goal,model,tuner
0.046153397,-0.5,0.364095414,66.98775307,45,59.23587992,3.511227338,1.520408163,0.127659574,project1457.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.181261812,-0.116666667,0.430427718,57.49921574,33.5,53.05688315,2.846958407,1.34,0.106382979,project1457.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.013864065,0.166666667,-0.818314118,5.370559554,3.333333333,10.02893504,inf,1.673333333,0.142857143,project1489.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
-0.172086549,0.375,-1.142915991,6.383258524,2.5,11.81928087,inf,1.105769231,0.12244898,project1489.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.128800974,-0.030952381,0.158505028,21.27258933,8.247619048,48.33440411,inf,0.55201049,0.22,project1526.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.30545584,-0.207386364,0.584891445,16.95910149,9.659090909,23.84330903,inf,0.65802139,0.24,project1526.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.213557381,-0.205882353,0.305344643,5.386430142,2.411764706,9.068524479,inf,1.6,0.046511628,project1540.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.096525204,-0.392857143,0.210886198,6.187996112,2.785714286,10.30165213,inf,2.133333333,0.046511628,project1540.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
0.037760953,0.4,0.120959919,8.560361625,3,10.59849979,inf,1.225,0.13559322,project1546.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV
0.03315342,0.3625,0.166344071,8.601351591,3.1875,10.05130753,inf,1.517857143,0.084745763,project1546.csv,0,DecisionTreeRegressor,RandomRangeSearchCV
