sa,sa_md,mar,mdar,mmre,mdmre,dataset,goal,model,tuner,objective,median tuning time (s),median fitting time (s)
0.9744228751311648,0.9609375,0.625,0.625,0.010416666666666666,0.010416666666666666,project0039.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,mmre,0.5694801807403564,0.0015039443969726562
-6.800000000000001,0.0,1.0,1.0,1.0,1.0,project0066.csv,0,DecisionTreeRegressor,DefaultCV,sa,0.012564897537231445,0.0009715557098388672
-6.800000000000001,0.0,1.0,1.0,1.0,1.0,project0066.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.013536691665649414,0.0015249252319335938
0.0,0.8717948717948718,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,project0066.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,sa,0.6216537952423096,0.0010023117065429688
0.0,0.8717948717948718,0.1282051282051282,0.1282051282051282,0.1282051282051282,0.1282051282051282,project0066.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,mmre,0.5710179805755615,0.0015037059783935547
-5.161585365853658,-8.555555555555555,86.0,86.0,1.8695652173913044,1.8695652173913044,project0103.csv,0,DecisionTreeRegressor,DefaultCV,sa,0.013032197952270508,0.0015053749084472656
-5.161585365853658,-8.555555555555555,86.0,86.0,1.8695652173913044,1.8695652173913044,project0103.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.011991262435913086,0.001505136489868164
0.0,-0.5508274231678487,13.957446808510639,13.957446808510639,0.303422756706753,0.303422756706753,project0103.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,sa,0.548959493637085,0.0010025501251220703
0.0,-0.5508274231678487,13.957446808510639,13.957446808510639,0.303422756706753,0.303422756706753,project0103.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,mmre,0.542442798614502,0.0010023117065429688
0.9829837752275425,0.95,1.0,1.0,0.5,0.5,project0123.csv,0,DecisionTreeRegressor,DefaultCV,sa,0.012024879455566406,0.001504659652709961
0.9829837752275425,0.95,1.0,1.0,0.5,0.5,project0123.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.012560606002807617,0.0014767646789550781
0.9829837752275425,0.95,1.0,1.0,0.5,0.5,project0123.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,sa,0.5634982585906982,0.0015041828155517578
1.0,1.0,0.0,0.0,0.0,0.0,project0123.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,mmre,0.5303843021392822,0.0010027885437011719
0.891606080634501,0.868421052631579,20.0,20.0,0.21505376344086022,0.21505376344086022,project0155.csv,0,DecisionTreeRegressor,DefaultCV,sa,0.013547658920288086,0.0019931793212890625
0.891606080634501,0.868421052631579,20.0,20.0,0.21505376344086022,0.21505376344086022,project0155.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.01153111457824707,0.0015037059783935547
0.9891606080634501,0.9868421052631579,2.0,2.0,0.021505376344086023,0.021505376344086023,project0155.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,sa,0.5801694393157959,0.0015041828155517578
0.9891606080634501,0.9868421052631579,2.0,2.0,0.021505376344086023,0.021505376344086023,project0155.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,mmre,0.5529708862304688,0.0015039443969726562
-10.417721518987339,-7.199999999999999,41.0,41.0,8.2,8.2,project0166.csv,0,DecisionTreeRegressor,DefaultCV,sa,0.013020753860473633,0.0014772415161132812
0.16455696202531667,0.4,3.0,3.0,0.6,0.6,project0166.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.011516571044921875,0.0014836788177490234
0.15189873417721544,0.3909090909090909,3.0454545454545454,3.0454545454545454,0.6090909090909091,0.6090909090909091,project0166.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,sa,0.535923957824707,0.0015037059783935547
0.15189873417721544,0.3909090909090909,3.0454545454545454,3.0454545454545454,0.6090909090909091,0.6090909090909091,project0166.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,mmre,0.539426326751709,0.0010025501251220703
0.8542805100182149,0.7333333333333334,4.0,4.0,2.0,2.0,project0175.csv,0,DecisionTreeRegressor,DefaultCV,sa,0.013034820556640625,0.0015037059783935547
0.7449908925318761,0.5333333333333333,7.0,7.0,3.5,3.5,project0175.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.012558698654174805,0.001982450485229492
0.9323445225084569,0.8761904761904762,1.8571428571428572,1.8571428571428572,0.9285714285714286,0.9285714285714286,project0175.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,sa,0.5820467472076416,0.0015048980712890625
0.9323445225084569,0.8761904761904762,1.8571428571428572,1.8571428571428572,0.9285714285714286,0.9285714285714286,project0175.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,mmre,0.6091110706329346,0.0015037059783935547
0.6629834254143646,0.0,2.0,2.0,1.0,1.0,project0181.csv,0,DecisionTreeRegressor,DefaultCV,sa,0.01403665542602539,0.0010027885437011719
-0.1795580110497237,-2.5,7.0,7.0,3.5,3.5,project0181.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.012561559677124023,0.0014758110046386719
1.0,1.0,0.0,0.0,0.0,0.0,project0181.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,sa,0.6452152729034424,0.0010027885437011719
1.0,1.0,0.0,0.0,0.0,0.0,project0181.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,mmre,0.6106243133544922,0.0015037059783935547
0.9663663663663664,0.9534883720930233,1.0,1.0,0.1111111111111111,0.1111111111111111,project0204.csv,0,DecisionTreeRegressor,DefaultCV,sa,0.014539480209350586,0.0015311241149902344
0.9327327327327327,0.9069767441860466,2.0,2.0,0.2222222222222222,0.2222222222222222,project0204.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.01302647590637207,0.0015354156494140625
1.0,1.0,0.0,0.0,0.0,0.0,project0204.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,sa,0.6286511421203613,0.0010020732879638672
1.0,1.0,0.0,0.0,0.0,0.0,project0204.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,mmre,0.6231575012207031,0.0015041828155517578
-1.2332603938730853,-2.0,81.0,81.0,5.785714285714286,5.785714285714286,project0207.csv,0,DecisionTreeRegressor,DefaultCV,sa,0.014538764953613281,0.0020051002502441406
-1.2332603938730853,-2.0,81.0,81.0,5.785714285714286,5.785714285714286,project0207.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.013033151626586914,0.0015387535095214844
0.0,-0.3433274544385656,36.26984126984127,36.26984126984127,2.5907029478458052,2.5907029478458052,project0207.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,sa,0.6597509384155273,0.0015037059783935547
0.0,-0.3433274544385656,36.26984126984127,36.26984126984127,2.5907029478458052,2.5907029478458052,project0207.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,mmre,0.6010980606079102,0.0015041828155517578
0.41702867072111205,0.484375,33.0,33.0,0.3173076923076923,0.3173076923076923,project0209.csv,0,DecisionTreeRegressor,DefaultCV,sa,0.015565156936645508,0.001504659652709961
0.788010425716768,0.8125,12.0,12.0,0.11538461538461539,0.11538461538461539,project0209.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0.01353597640991211,0.0015048980712890625
0.907745277858223,0.9184027777777777,5.2222222222222285,5.2222222222222285,0.05021367521367527,0.05021367521367527,project0209.csv,0,DecisionTreeRegressor,DifferentialEvolutionCV,sa,0.6341781616210938,0.0015037059783935547
