mean_test_score,rank_test_score,dataset,goal,model,tuner,objective,iteration
0.9627513227513228,1,project0166.csv,0,RandomForestRegressor,DefaultCV,sa,0
-1.22,1,project0166.csv,0,RandomForestRegressor,DefaultCV,mmre,0
-0.050175817837106784,1,project0175.csv,0,LinearRegression,DefaultCV,sa,0
-14.41366309981429,1,project0175.csv,0,LinearRegression,DefaultCV,mmre,0
0.6794171220400729,1,project0175.csv,0,KNeighborsRegressor,DefaultCV,sa,0
-4.4,1,project0175.csv,0,KNeighborsRegressor,DefaultCV,mmre,0
0.9635701275045537,1,project0175.csv,0,DecisionTreeRegressor,DefaultCV,sa,0
-0.5,1,project0175.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0
0.4630254139986848,1,project0175.csv,0,SVR,DefaultCV,sa,0
-7.369976192868052,1,project0175.csv,0,SVR,DefaultCV,mmre,0
0.8426229508196721,1,project0175.csv,0,RandomForestRegressor,DefaultCV,sa,0
-3.255,1,project0175.csv,0,RandomForestRegressor,DefaultCV,mmre,0
-0.5310593845761062,1,project0181.csv,0,LinearRegression,DefaultCV,sa,0
-0.49362023874311617,1,project0181.csv,0,LinearRegression,DefaultCV,mmre,0
-0.7576271186440677,1,project0181.csv,0,KNeighborsRegressor,DefaultCV,sa,0
-0.5666666666666667,1,project0181.csv,0,KNeighborsRegressor,DefaultCV,mmre,0
-0.5508474576271187,1,project0181.csv,0,DecisionTreeRegressor,DefaultCV,sa,0
-0.5,1,project0181.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0
-0.6830199240272654,1,project0181.csv,0,SVR,DefaultCV,sa,0
-0.5426129809705391,1,project0181.csv,0,SVR,DefaultCV,mmre,0
-0.9178813559322034,1,project0181.csv,0,RandomForestRegressor,DefaultCV,sa,0
-0.6116666666666667,1,project0181.csv,0,RandomForestRegressor,DefaultCV,mmre,0
0.4598954836115914,1,project0204.csv,0,LinearRegression,DefaultCV,sa,0
-1.5518360122659811,1,project0204.csv,0,LinearRegression,DefaultCV,mmre,0
0.8468614045991298,1,project0204.csv,0,KNeighborsRegressor,DefaultCV,sa,0
-0.44000000000000006,1,project0204.csv,0,KNeighborsRegressor,DefaultCV,mmre,0
0.8259788688626476,1,project0204.csv,0,DecisionTreeRegressor,DefaultCV,sa,0
-0.6,1,project0204.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0
0.4585736983766068,1,project0204.csv,0,SVR,DefaultCV,sa,0
-1.555633784485785,1,project0204.csv,0,SVR,DefaultCV,mmre,0
0.6477812305779986,1,project0204.csv,0,RandomForestRegressor,DefaultCV,sa,0
-0.9399999999999998,1,project0204.csv,0,RandomForestRegressor,DefaultCV,mmre,0
-8.857417367868871,1,project0207.csv,0,LinearRegression,DefaultCV,sa,0
-0.14112704603858278,1,project0207.csv,0,LinearRegression,DefaultCV,mmre,0
-34.334782608695775,1,project0207.csv,0,KNeighborsRegressor,DefaultCV,sa,0
-0.5058823529411764,1,project0207.csv,0,KNeighborsRegressor,DefaultCV,mmre,0
-9.956521739130475,1,project0207.csv,0,DecisionTreeRegressor,DefaultCV,sa,0
-0.29411764705882354,1,project0207.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0
-8.620852801570269,1,project0207.csv,0,SVR,DefaultCV,sa,0
-0.13774018950271733,1,project0207.csv,0,SVR,DefaultCV,mmre,0
-14.791086956521797,1,project0207.csv,0,RandomForestRegressor,DefaultCV,sa,0
-0.2098039215686275,1,project0207.csv,0,RandomForestRegressor,DefaultCV,mmre,0
-2.628973801801315,1,project0209.csv,0,LinearRegression,DefaultCV,sa,0
-0.6116130709967127,1,project0209.csv,0,LinearRegression,DefaultCV,mmre,0
-2.684982935153585,1,project0209.csv,0,KNeighborsRegressor,DefaultCV,sa,0
-0.6210526315789475,1,project0209.csv,0,KNeighborsRegressor,DefaultCV,mmre,0
-1.0819112627986351,1,project0209.csv,0,DecisionTreeRegressor,DefaultCV,sa,0
-0.3508771929824561,1,project0209.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0
-0.2399234135204018,1,project0209.csv,0,SVR,DefaultCV,sa,0
-0.2089718493882529,1,project0209.csv,0,SVR,DefaultCV,mmre,0
0.5461433447098976,1,project0209.csv,0,RandomForestRegressor,DefaultCV,sa,0
-0.09807017543859656,1,project0209.csv,0,RandomForestRegressor,DefaultCV,mmre,0
-0.04845237898566057,1,project0224.csv,0,LinearRegression,DefaultCV,sa,0
-4.98411904014551,1,project0224.csv,0,LinearRegression,DefaultCV,mmre,0
1.0,1,project0224.csv,0,KNeighborsRegressor,DefaultCV,sa,0
0.0,1,project0224.csv,0,KNeighborsRegressor,DefaultCV,mmre,0
1.0,1,project0224.csv,0,DecisionTreeRegressor,DefaultCV,sa,0
0.0,1,project0224.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0
0.9436762646367562,1,project0224.csv,0,SVR,DefaultCV,sa,0
-1.2140301943803262,1,project0224.csv,0,SVR,DefaultCV,mmre,0
1.0,1,project0224.csv,0,RandomForestRegressor,DefaultCV,sa,0
0.0,1,project0224.csv,0,RandomForestRegressor,DefaultCV,mmre,0
0.19918294879761156,1,project0229.csv,0,LinearRegression,DefaultCV,sa,0
-10.676539368695527,1,project0229.csv,0,LinearRegression,DefaultCV,mmre,0
-1.068965517241379,1,project0229.csv,0,KNeighborsRegressor,DefaultCV,sa,0
-26.0,1,project0229.csv,0,KNeighborsRegressor,DefaultCV,mmre,0
1.0,1,project0229.csv,0,DecisionTreeRegressor,DefaultCV,sa,0
0.0,1,project0229.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0
0.7363718331811102,1,project0229.csv,0,SVR,DefaultCV,sa,0
-4.185507015728252,1,project0229.csv,0,SVR,DefaultCV,mmre,0
0.7533793103448276,1,project0229.csv,0,RandomForestRegressor,DefaultCV,sa,0
-3.8,1,project0229.csv,0,RandomForestRegressor,DefaultCV,mmre,0
0.2555699395781995,1,project0244.csv,0,LinearRegression,DefaultCV,sa,0
-0.6439320022648574,1,project0244.csv,0,LinearRegression,DefaultCV,mmre,0
0.7456647398843931,1,project0244.csv,0,KNeighborsRegressor,DefaultCV,sa,0
-0.21999999999999992,1,project0244.csv,0,KNeighborsRegressor,DefaultCV,mmre,0
0.76878612716763,1,project0244.csv,0,DecisionTreeRegressor,DefaultCV,sa,0
-0.2,1,project0244.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0
0.630458264475954,1,project0244.csv,0,SVR,DefaultCV,sa,0
-0.3196536012282998,1,project0244.csv,0,SVR,DefaultCV,mmre,0
0.8994219653179192,1,project0244.csv,0,RandomForestRegressor,DefaultCV,sa,0
-0.07100000000000009,1,project0244.csv,0,RandomForestRegressor,DefaultCV,mmre,0
0.963436428486407,1,project0248.csv,0,LinearRegression,DefaultCV,sa,0
-1.1203922476667088,1,project0248.csv,0,LinearRegression,DefaultCV,mmre,0
1.0,1,project0248.csv,0,KNeighborsRegressor,DefaultCV,sa,0
0.0,1,project0248.csv,0,KNeighborsRegressor,DefaultCV,mmre,0
1.0,1,project0248.csv,0,DecisionTreeRegressor,DefaultCV,sa,0
0.0,1,project0248.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0
0.9692268330646059,1,project0248.csv,0,SVR,DefaultCV,sa,0
-1.101326281372639,1,project0248.csv,0,SVR,DefaultCV,mmre,0
1.0,1,project0248.csv,0,RandomForestRegressor,DefaultCV,sa,0
0.0,1,project0248.csv,0,RandomForestRegressor,DefaultCV,mmre,0
0.6730637909456975,1,project0252.csv,0,LinearRegression,DefaultCV,sa,0
-0.10097877428603799,1,project0252.csv,0,LinearRegression,DefaultCV,mmre,0
0.0335305719921104,1,project0252.csv,0,KNeighborsRegressor,DefaultCV,sa,0
-0.29850746268656714,1,project0252.csv,0,KNeighborsRegressor,DefaultCV,mmre,0
0.5650887573964496,1,project0252.csv,0,DecisionTreeRegressor,DefaultCV,sa,0
-0.2537313432835821,1,project0252.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0
-0.09735183291882787,1,project0252.csv,0,SVR,DefaultCV,sa,0
-0.3389323053852243,1,project0252.csv,0,SVR,DefaultCV,mmre,0
0.4196351084812624,1,project0252.csv,0,RandomForestRegressor,DefaultCV,sa,0
-0.17895522388059704,1,project0252.csv,0,RandomForestRegressor,DefaultCV,mmre,0
-4.834379341939893,1,project0312.csv,0,LinearRegression,DefaultCV,sa,0
-3.951466008859292,1,project0312.csv,0,LinearRegression,DefaultCV,mmre,0
-2.1498881431767334,1,project0312.csv,0,KNeighborsRegressor,DefaultCV,sa,0
-2.1333333333333333,1,project0312.csv,0,KNeighborsRegressor,DefaultCV,mmre,0
-3.1834451901565988,1,project0312.csv,0,DecisionTreeRegressor,DefaultCV,sa,0
-2.8333333333333335,1,project0312.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0
0.24169528982176025,1,project0312.csv,0,SVR,DefaultCV,sa,0
-0.5135790991661716,1,project0312.csv,0,SVR,DefaultCV,mmre,0
-2.6925055928411625,1,project0312.csv,0,RandomForestRegressor,DefaultCV,sa,0
-2.75,1,project0312.csv,0,RandomForestRegressor,DefaultCV,mmre,0
0.87112695564434,1,project0317.csv,0,LinearRegression,DefaultCV,sa,0
-0.06241714398992081,1,project0317.csv,0,LinearRegression,DefaultCV,mmre,0
0.35764705882352943,1,project0317.csv,0,KNeighborsRegressor,DefaultCV,sa,0
-0.3111111111111111,1,project0317.csv,0,KNeighborsRegressor,DefaultCV,mmre,0
0.5870588235294119,1,project0317.csv,0,DecisionTreeRegressor,DefaultCV,sa,0
-0.15555555555555556,1,project0317.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0
0.1965467493519817,1,project0317.csv,0,SVR,DefaultCV,sa,0
-0.38913690202325674,1,project0317.csv,0,SVR,DefaultCV,mmre,0
0.39435294117647046,1,project0317.csv,0,RandomForestRegressor,DefaultCV,sa,0
-0.24977777777777782,1,project0317.csv,0,RandomForestRegressor,DefaultCV,mmre,0
0.7102517267677244,1,project0319.csv,0,LinearRegression,DefaultCV,sa,0
-15.791280891159019,1,project0319.csv,0,LinearRegression,DefaultCV,mmre,0
0.9045871559633027,1,project0319.csv,0,KNeighborsRegressor,DefaultCV,sa,0
-5.2,1,project0319.csv,0,KNeighborsRegressor,DefaultCV,mmre,0
0.981651376146789,1,project0319.csv,0,DecisionTreeRegressor,DefaultCV,sa,0
-1.0,1,project0319.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0
0.6406632219565761,1,project0319.csv,0,SVR,DefaultCV,sa,0
-19.5838544033666,1,project0319.csv,0,SVR,DefaultCV,mmre,0
0.9548623853211009,1,project0319.csv,0,RandomForestRegressor,DefaultCV,sa,0
-1.4700000000000002,1,project0319.csv,0,RandomForestRegressor,DefaultCV,mmre,0
-38.43371369093314,1,project0372.csv,0,LinearRegression,DefaultCV,sa,0
-1.3961116219534766,1,project0372.csv,0,LinearRegression,DefaultCV,mmre,0
-23.502583025830244,1,project0372.csv,0,KNeighborsRegressor,DefaultCV,sa,0
-0.8674897119341565,1,project0372.csv,0,KNeighborsRegressor,DefaultCV,mmre,0
-8.18265682656826,1,project0372.csv,0,DecisionTreeRegressor,DefaultCV,sa,0
-0.32510288065843623,1,project0372.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0
-1.4840710317691004,1,project0372.csv,0,SVR,DefaultCV,sa,0
-0.0879460774197435,1,project0372.csv,0,SVR,DefaultCV,mmre,0
-25.575073800737993,1,project0372.csv,0,RandomForestRegressor,DefaultCV,sa,0
-0.9766255144032921,1,project0372.csv,0,RandomForestRegressor,DefaultCV,mmre,0
0.20633537393322532,1,project0373.csv,0,LinearRegression,DefaultCV,sa,0
-0.9994295291211235,1,project0373.csv,0,LinearRegression,DefaultCV,mmre,0
0.6724264705882352,1,project0373.csv,0,KNeighborsRegressor,DefaultCV,sa,0
-0.4125,1,project0373.csv,0,KNeighborsRegressor,DefaultCV,mmre,0
0.9503676470588235,1,project0373.csv,0,DecisionTreeRegressor,DefaultCV,sa,0
-0.0625,1,project0373.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0
0.43616643493208895,1,project0373.csv,0,SVR,DefaultCV,sa,0
-0.710012637492925,1,project0373.csv,0,SVR,DefaultCV,mmre,0
0.7994852941176471,1,project0373.csv,0,RandomForestRegressor,DefaultCV,sa,0
-0.5625,1,project0373.csv,0,RandomForestRegressor,DefaultCV,mmre,0
0.9861069131194962,1,project0375.csv,0,LinearRegression,DefaultCV,sa,0
-1.3838305767574504,1,project0375.csv,0,LinearRegression,DefaultCV,mmre,0
1.0,1,project0375.csv,0,KNeighborsRegressor,DefaultCV,sa,0
0.0,1,project0375.csv,0,KNeighborsRegressor,DefaultCV,mmre,0
1.0,1,project0375.csv,0,DecisionTreeRegressor,DefaultCV,sa,0
0.0,1,project0375.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0
0.9336974115861978,1,project0375.csv,0,SVR,DefaultCV,sa,0
-2.831771511275437,1,project0375.csv,0,SVR,DefaultCV,mmre,0
1.0,1,project0375.csv,0,RandomForestRegressor,DefaultCV,sa,0
0.0,1,project0375.csv,0,RandomForestRegressor,DefaultCV,mmre,0
0.7074000677311822,1,project0385.csv,0,LinearRegression,DefaultCV,sa,0
-10.302659915581032,1,project0385.csv,0,LinearRegression,DefaultCV,mmre,0
0.779826464208243,1,project0385.csv,0,KNeighborsRegressor,DefaultCV,sa,0
-8.0,1,project0385.csv,0,KNeighborsRegressor,DefaultCV,mmre,0
0.7169197396963123,1,project0385.csv,0,DecisionTreeRegressor,DefaultCV,sa,0
-13.0,1,project0385.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0
0.20038040833959236,1,project0385.csv,0,SVR,DefaultCV,sa,0
-26.422388396927442,1,project0385.csv,0,SVR,DefaultCV,mmre,0
0.7908351409978308,1,project0385.csv,0,RandomForestRegressor,DefaultCV,sa,0
-7.02,1,project0385.csv,0,RandomForestRegressor,DefaultCV,mmre,0
0.973812868211206,1,project0395.csv,0,LinearRegression,DefaultCV,sa,0
-2.217434412548422,1,project0395.csv,0,LinearRegression,DefaultCV,mmre,0
0.9612818261633012,1,project0395.csv,0,KNeighborsRegressor,DefaultCV,sa,0
-2.8,1,project0395.csv,0,KNeighborsRegressor,DefaultCV,mmre,0
1.0,1,project0395.csv,0,DecisionTreeRegressor,DefaultCV,sa,0
0.0,1,project0395.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0
0.8071572299562008,1,project0395.csv,0,SVR,DefaultCV,sa,0
-9.965221023668871,1,project0395.csv,0,SVR,DefaultCV,mmre,0
0.9993546971027217,1,project0395.csv,0,RandomForestRegressor,DefaultCV,sa,0
-1.11,1,project0395.csv,0,RandomForestRegressor,DefaultCV,mmre,0
0.9540005313697653,1,project0396.csv,0,LinearRegression,DefaultCV,sa,0
-0.0046900379882209384,1,project0396.csv,0,LinearRegression,DefaultCV,mmre,0
-0.06666666666666643,1,project0396.csv,0,KNeighborsRegressor,DefaultCV,sa,0
-0.10875576036866356,1,project0396.csv,0,KNeighborsRegressor,DefaultCV,mmre,0
-0.8531073446327684,1,project0396.csv,0,DecisionTreeRegressor,DefaultCV,sa,0
-0.055299539170506916,1,project0396.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0
-1.7962943673253537,1,project0396.csv,0,SVR,DefaultCV,sa,0
-0.2851060501247625,1,project0396.csv,0,SVR,DefaultCV,mmre,0
0.14983050847457613,1,project0396.csv,0,RandomForestRegressor,DefaultCV,sa,0
-0.0975576036866359,1,project0396.csv,0,RandomForestRegressor,DefaultCV,mmre,0
0.9376764794975982,1,project0422.csv,0,LinearRegression,DefaultCV,sa,0
-0.08661371310846605,1,project0422.csv,0,LinearRegression,DefaultCV,mmre,0
0.28044280442804426,1,project0422.csv,0,KNeighborsRegressor,DefaultCV,sa,0
-1.0,1,project0422.csv,0,KNeighborsRegressor,DefaultCV,mmre,0
0.33579335793357934,1,project0422.csv,0,DecisionTreeRegressor,DefaultCV,sa,0
-0.9230769230769231,1,project0422.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0
0.5170983719629237,1,project0422.csv,0,SVR,DefaultCV,sa,0
-0.6711094420412701,1,project0422.csv,0,SVR,DefaultCV,mmre,0
0.5677121771217712,1,project0422.csv,0,RandomForestRegressor,DefaultCV,sa,0
-0.536923076923077,1,project0422.csv,0,RandomForestRegressor,DefaultCV,mmre,0
-2.223008620163845,1,project0429.csv,0,LinearRegression,DefaultCV,sa,0
-0.7735220688393225,1,project0429.csv,0,LinearRegression,DefaultCV,mmre,0
-0.9444444444444449,1,project0429.csv,0,KNeighborsRegressor,DefaultCV,sa,0
-0.4666666666666667,1,project0429.csv,0,KNeighborsRegressor,DefaultCV,mmre,0
-1.8703703703703711,1,project0429.csv,0,DecisionTreeRegressor,DefaultCV,sa,0
-0.6888888888888889,1,project0429.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0
-0.8319211020178134,1,project0429.csv,0,SVR,DefaultCV,sa,0
-0.4396610644842751,1,project0429.csv,0,SVR,DefaultCV,mmre,0
-1.9629629629629637,1,project0429.csv,0,RandomForestRegressor,DefaultCV,sa,0
-0.7851111111111111,1,project0429.csv,0,RandomForestRegressor,DefaultCV,mmre,0
0.9716602127772388,1,project0432.csv,0,LinearRegression,DefaultCV,sa,0
-0.02082530234717664,1,project0432.csv,0,LinearRegression,DefaultCV,mmre,0
0.37665006226650055,1,project0432.csv,0,KNeighborsRegressor,DefaultCV,sa,0
-0.45806451612903226,1,project0432.csv,0,KNeighborsRegressor,DefaultCV,mmre,0
0.9414694894146949,1,project0432.csv,0,DecisionTreeRegressor,DefaultCV,sa,0
-0.043010752688172046,1,project0432.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0
-0.04402353865241615,1,project0432.csv,0,SVR,DefaultCV,sa,0
-0.7671936870628141,1,project0432.csv,0,SVR,DefaultCV,mmre,0
0.31899750933997506,1,project0432.csv,0,RandomForestRegressor,DefaultCV,sa,0
-0.5274193548387096,1,project0432.csv,0,RandomForestRegressor,DefaultCV,mmre,0
-2.0927324052931713,1,project0462.csv,0,LinearRegression,DefaultCV,sa,0
-0.37139556111165717,1,project0462.csv,0,LinearRegression,DefaultCV,mmre,0
0.09639639639639563,1,project0462.csv,0,KNeighborsRegressor,DefaultCV,sa,0
-0.10851063829787237,1,project0462.csv,0,KNeighborsRegressor,DefaultCV,mmre,0
-3.5180180180180205,1,project0462.csv,0,DecisionTreeRegressor,DefaultCV,sa,0
-0.7127659574468085,1,project0462.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0
-0.38952852686227146,1,project0462.csv,0,SVR,DefaultCV,sa,0
-0.16686368533903212,1,project0462.csv,0,SVR,DefaultCV,mmre,0
-1.3112762762762782,1,project0462.csv,0,RandomForestRegressor,DefaultCV,sa,0
-0.2169148936170213,1,project0462.csv,0,RandomForestRegressor,DefaultCV,mmre,0
-4.168408961803761,1,project0483.csv,0,LinearRegression,DefaultCV,sa,0
-0.4201398543044101,1,project0483.csv,0,LinearRegression,DefaultCV,mmre,0
0.08196721311475375,1,project0483.csv,0,KNeighborsRegressor,DefaultCV,sa,0
-0.07462686567164178,1,project0483.csv,0,KNeighborsRegressor,DefaultCV,mmre,0
-2.855737704918034,1,project0483.csv,0,DecisionTreeRegressor,DefaultCV,sa,0
-0.8656716417910447,1,project0483.csv,0,DecisionTreeRegressor,DefaultCV,mmre,0
0.863085349620266,1,project0483.csv,0,SVR,DefaultCV,sa,0
-0.011129789010079657,1,project0483.csv,0,SVR,DefaultCV,mmre,0
0.32616393442622893,1,project0483.csv,0,RandomForestRegressor,DefaultCV,sa,0
-0.07074626865671634,1,project0483.csv,0,RandomForestRegressor,DefaultCV,mmre,0
0.2637209127685193,1,project0503.csv,0,LinearRegression,DefaultCV,sa,0
